[ 2017-02-10T00:07:42+08:00 ] /index_login.html | INFO: Tag[ route_check ] --START--
[ 2017-02-10T08:31:16+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `trademoney` FROM `pay_order` WHERE TransID = '1486674366' LIMIT 1   [ RunTime:0.000977s ]
[ 2017-02-10T08:31:16+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `trademoney` FROM `pay_order` WHERE TransID = '1486674366' LIMIT 1   [ RunTime:0.000976s ]
[ 2017-02-10T08:31:16+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `typepay` FROM `pay_order` WHERE TransID = '1486674366' LIMIT 1   [ RunTime:0.000977s ]
[ 2017-02-10T08:31:16+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `payname` FROM `pay_order` WHERE TransID = '1486674366' LIMIT 1   [ RunTime:0.000977s ]
[ 2017-02-10T08:31:16+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `Zt` FROM `pay_order` WHERE TransID = '1486674366' LIMIT 1   [ RunTime:0.000976s ]
[ 2017-02-10T08:31:16+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SHOW COLUMNS FROM `pay_userapiinformation` [ RunTime:0.001953s ]
[ 2017-02-10T08:31:16+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `Key` FROM `pay_userapiinformation` WHERE UserID=297 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-10T09:48:09+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-02-10T09:48:09+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000977s ]
[ 2017-02-10T09:48:09+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000977s ]
[ 2017-02-10T09:48:09+08:00 ] / | NOTIC: [2048] Declaration of IndexAction::ajaxreturn() should be compatible with that of Action::ajaxReturn() IndexAction.class.php 第 1060 行.
[ 2017-02-10T09:48:12+08:00 ] / | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.001953s ]
[ 2017-02-10T09:48:12+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 0 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-10T09:48:12+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 1 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-10T09:48:12+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000977s ]
[ 2017-02-10T09:48:12+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 3 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-10T09:48:12+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-02-10T09:48:12+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000977s ]
[ 2017-02-10T09:48:12+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000977s ]
[ 2017-02-10T09:48:12+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-02-10T09:48:12+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.014649s ]
[ 2017-02-10T09:48:12+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014649s ]
[ 2017-02-10T09:48:12+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-02-10T09:48:12+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000976s ]
[ 2017-02-10T09:48:12+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-10T09:48:12+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-10T09:48:12+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000977s ]
[ 2017-02-10T09:48:12+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001953s ]
[ 2017-02-10T09:48:12+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-02-10T09:48:12+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-10T09:48:12+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Tag[ route_check ] --START--
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000977s ]
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Tag[ view_template ] --START--
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Tag[ view_parse ] --START--
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Run ParseTemplate Behavior [ RunTime:0.016601s ]
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016601s ]
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Tag[ view_filter ] --START--
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Run TokenBuild Behavior [ RunTime:0.000976s ]
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000976s ]
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Tag[ view_end ] --START--
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:07:36+08:00 ] /index_developer7.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000977s ]
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Tag[ route_check ] --START--
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Tag[ view_template ] --START--
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Tag[ view_parse ] --START--
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Run ParseTemplate Behavior [ RunTime:0.005859s ]
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005859s ]
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Tag[ view_filter ] --START--
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Run TokenBuild Behavior [ RunTime:0.000977s ]
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000977s ]
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Tag[ view_end ] --START--
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000976s ]
[ 2017-02-10T11:07:44+08:00 ] /index_developer7.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000976s ]
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Tag[ route_check ] --START--
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000977s ]
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000977s ]
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Tag[ view_template ] --START--
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000977s ]
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000977s ]
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Tag[ view_parse ] --START--
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.016600s ]
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016600s ]
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Tag[ view_filter ] --START--
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Run ContentReplace Behavior [ RunTime:0.000977s ]
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001953s ]
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Tag[ view_end ] --START--
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000977s ]
[ 2017-02-10T11:53:44+08:00 ] /index_login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000977s ]
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | ERR: (ThinkException) 非法操作icon1.png
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | INFO: Tag[ route_check ] --START--
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | INFO: Tag[ app_begin ] --START--
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | NOTIC: [2] file() [<a href='function.file'>function.file</a>]: Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | ERR: (ThinkException) 非法操作icon2.png
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | INFO: Tag[ route_check ] --START--
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | INFO: Tag[ app_begin ] --START--
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | NOTIC: [2] file() [<a href='function.file'>function.file</a>]: Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | ERR: (ThinkException) 非法操作line
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | INFO: Tag[ route_check ] --START--
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | INFO: Tag[ app_begin ] --START--
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000977s ]
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000977s ]
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | NOTIC: [2] file() [<a href='function.file'>function.file</a>]: Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-10T11:54:01+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Tag[ route_check ] --START--
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Run CheckRoute Behavior [ RunTime:0.000977s ]
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000977s ]
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000976s ]
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000976s ]
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Tag[ view_template ] --START--
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Tag[ view_parse ] --START--
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.005859s ]
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005859s ]
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Tag[ view_filter ] --START--
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Run ContentReplace Behavior [ RunTime:0.000976s ]
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000977s ]
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001953s ]
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Tag[ view_end ] --START--
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000976s ]
[ 2017-02-10T11:58:55+08:00 ] /index_login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000976s ]
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Tag[ route_check ] --START--
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Tag[ view_template ] --START--
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000976s ]
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000976s ]
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Tag[ view_parse ] --START--
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.004883s ]
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004883s ]
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Tag[ view_filter ] --START--
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Run ContentReplace Behavior [ RunTime:0.000976s ]
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000977s ]
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001953s ]
[ 2017-02-10T11:59:06+08:00 ] /index_login.html | INFO: Tag[ view_end ] --START--
